0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:23 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:24 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:24 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:25 +0900] "GET /board_ex09/board/list?type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:25 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:27 +0900] "GET /board_ex09/board/list?type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:27 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:39 +0900] "GET /board_ex09/board/list?type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:39 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:41 +0900] "GET /board_ex09/board/get?bno=1239&page=1&type=&keyword= HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:41 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:42 +0900] "GET /board_ex09/board/list?bno=1239&title=CSS%EC%97%B0%EC%8A%B5%EC%9D%B4%EC%A7%80%EB%A1%B1&writer=%EB%B0%B0%EA%B3%B1%EA%B0%9C%EB%B3%B5&contents=%EA%B0%9C%EB%82%B4%EA%B3%B1%EA%B0%9C%EA%B3%B1+%EA%B0%9C%EB%B0%B0%EA%B3%A0%EC%98%A4%EC%98%A4%EC%98%A4%EC%98%B5&page=1&type=&keyword= HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:42 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:45 +0900] "GET /board_ex09/board/list?type=T&keyword=jsp HTTP/1.1" 200 7968
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:45 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:48 +0900] "GET /board_ex09/board/list?type=T&keyword=jsp HTTP/1.1" 200 7968
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:48 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:50 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:50 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:51 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:51 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:54 +0900] "GET /board_ex09/board/list?type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 8100
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:54 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:57 +0900] "GET /board_ex09/board/get?bno=820&page=1&type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:57 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:58 +0900] "GET /board_ex09/board/list?bno=820&title=%EC%A0%9C%EB%AA%A9+%3A+%EC%8A%A4%ED%94%84%EB%A7%81+%EC%97%B0%EC%8A%B5%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0408&writer=%EC%A3%BC%ED%8E%84%EB%8B%A8408&contents=%EB%82%B4%EC%9A%A9+%3A+css+%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%A4%91%EC%9E%85%EB%8B%88%EB%8B%A4%EC%9C%A0408&page=1&type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 8100
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:32:58 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:33:00 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:33:00 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:33:02 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:33:02 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:33:17 +0900] "GET /board_ex09/board/list?type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:33:17 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:34:38 +0900] "GET /board_ex09/board/get?bno=1239&page=1&type=T&keyword= HTTP/1.1" 200 3784
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:34:38 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:34:39 +0900] "GET /board_ex09/board/list?bno=1239&title=CSS%EC%97%B0%EC%8A%B5%EC%9D%B4%EC%A7%80%EB%A1%B1&writer=%EB%B0%B0%EA%B3%B1%EA%B0%9C%EB%B3%B5&contents=%EA%B0%9C%EB%82%B4%EA%B3%B1%EA%B0%9C%EA%B3%B1+%EA%B0%9C%EB%B0%B0%EA%B3%A0%EC%98%A4%EC%98%A4%EC%98%A4%EC%98%B5&page=1&type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:34:39 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:13 +0900] "GET /board_ex09/board/list?bno=1239&title=CSS%EC%97%B0%EC%8A%B5%EC%9D%B4%EC%A7%80%EB%A1%B1&writer=%EB%B0%B0%EA%B3%B1%EA%B0%9C%EB%B3%B5&contents=%EA%B0%9C%EB%82%B4%EA%B3%B1%EA%B0%9C%EA%B3%B1+%EA%B0%9C%EB%B0%B0%EA%B3%A0%EC%98%A4%EC%98%A4%EC%98%A4%EC%98%B5&page=1&type=T&keyword= HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:13 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:15 +0900] "GET /board_ex09 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:15 +0900] "GET /board_ex09/ HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:15 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:16 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:16 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:20 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7512
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:20 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:22 +0900] "GET /board_ex09/board/list?type=T&keyword=jsp HTTP/1.1" 200 7554
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:22 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:41 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7515
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:35:42 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
